[(194, 192), (192, 191), (191, 193), (193, 183), (183, 182), (182, 186), (186, 121), (121, 195), (195, 196), (196, 90)]
[(192, 191), (191, 193), (193, 183), (183, 182), (182, 186), (186, 237), (237, 60), (60, 13), (13, 7), (7, 11)]
[(126, 125), (125, 127), (127, 56), (56, 55), (55, 57), (57, 13), (13, 188), (188, 187), (187, 183), (183, 193)]
[(140, 134), (134, 126), (126, 125), (125, 127), (127, 4), (4, 82), (82, 80), (80, 81), (81, 222), (222, 223)]
[(191, 193), (193, 183), (183, 182), (182, 186), (186, 237), (237, 60), (60, 227), (227, 45), (45, 205), (205, 209)]
[(72, 68), (68, 70), (70, 52), (52, 97), (97, 84), (84, 80), (80, 81), (81, 222), (222, 242), (242, 192)]
[(203, 183), (183, 182), (182, 186), (186, 237), (237, 60), (60, 161), (161, 53), (53, 12), (12, 5), (5, 96)]
[(124, 122), (122, 123), (123, 183), (183, 182), (182, 186), (186, 237), (237, 60), (60, 161), (161, 53), (53, 12)]
[(224, 223), (223, 222), (222, 81), (81, 80), (80, 82), (82, 161), (161, 53), (53, 12), (12, 5), (5, 103)]
[(194, 192), (192, 191), (191, 193), (193, 183), (183, 182), (182, 186), (186, 225), (225, 82), (82, 80), (80, 84)]
[(197, 195), (195, 57), (57, 11), (11, 7), (7, 13), (13, 84), (84, 80), (80, 81), (81, 222), (222, 223)]
[(203, 183), (183, 182), (182, 186), (186, 225), (225, 82), (82, 4), (4, 1), (1, 5), (5, 125), (125, 130)]
[(182, 186), (186, 225), (225, 82), (82, 80), (80, 84), (84, 13), (13, 10), (10, 151), (151, 171), (171, 176)]
[(156, 147), (147, 150), (150, 171), (171, 166), (166, 33), (33, 32), (32, 11), (11, 284), (284, 205), (205, 209)]
[(138, 134), (134, 126), (126, 125), (125, 127), (127, 4), (4, 82), (82, 80), (80, 81), (81, 222), (222, 242)]
[(123, 183), (183, 182), (182, 186), (186, 237), (237, 60), (60, 13), (13, 7), (7, 11), (11, 165), (165, 166)]
[(197, 195), (195, 57), (57, 11), (11, 7), (7, 13), (13, 84), (84, 80), (80, 81), (81, 222), (222, 242)]
[(192, 191), (191, 193), (193, 183), (183, 182), (182, 186), (186, 237), (237, 60), (60, 13), (13, 7), (7, 11)]
[(141, 134), (134, 126), (126, 125), (125, 127), (127, 56), (56, 55), (55, 57), (57, 13), (13, 188), (188, 187)]
[(218, 196), (196, 195), (195, 57), (57, 11), (11, 7), (7, 13), (13, 84), (84, 80), (80, 81), (81, 222)]
[(139, 134), (134, 126), (126, 125), (125, 127), (127, 4), (4, 82), (82, 80), (80, 81), (81, 222), (222, 242)]
[(166, 165), (165, 11), (11, 7), (7, 13), (13, 84), (84, 80), (80, 81), (81, 222), (222, 223), (223, 224)]
[(224, 223), (223, 222), (222, 81), (81, 80), (80, 82), (82, 161), (161, 53), (53, 12), (12, 5), (5, 100)]
[(194, 192), (192, 191), (191, 193), (193, 183), (183, 182), (182, 186), (186, 237), (237, 60), (60, 13), (13, 7)]
[(144, 134), (134, 126), (126, 125), (125, 127), (127, 4), (4, 82), (82, 80), (80, 81), (81, 163), (163, 124)]
[(130, 125), (125, 127), (127, 56), (56, 55), (55, 57), (57, 13), (13, 188), (188, 187), (187, 183), (183, 203)]
[(206, 204), (204, 205), (205, 45), (45, 44), (44, 49), (49, 56), (56, 55), (55, 57), (57, 239), (239, 240)]
